,id,imdbid,rating,title,year
182,5741,21735,3,"Cheat, The",1931
183,6030,21739,3,La Chienne,1931
184,6043,21079,1,Little Caesar,1931
185,1828,22000,3,Indiscreet,1931
186,1985,21814,2,Dracula,1931
187,1327,20642,3,Anna Christie,1931
188,628,22183,3,M&auml;dchen in Uniform,1931
189,636,22208,3,Night Nurse,1931
190,7296,23395,2,Rich and Strange [East of Shanghai],1931
191,8557,21985,1,Hyppolit a lakaj,1931
192,1956,22054,0,"Last Flight, The",1931
193,2705,21749,3,City Lights,1931
194,4243,22074,2,"Smiling Lieutenant, The",1931
195,5934,22286,3,"Public Enemy, The",1931
196,8467,21746,3,Cimarron,1931
197,1983,22614,2,"Age of Consent, The",1932
198,5742,23213,3,Merrily We Go to Hell,1932
199,5929,23458,3,Shanghai Express,1932
200,5783,22940,2,"Girl from Calgary, The",1932
201,4775,23293,3,"Old Dark House, The",1932
202,1328,22958,3,Grand Hotel,1932
203,6052,23158,2,Love Me Tonight,1932
204,6852,23582,3,Thirteen Women,1932
205,7301,23285,0,Number 17,1932
206,6990,22694,1,"Blue Light (Das Blaue Licht), The",1932
207,3659,22913,2,Freaks,1932
208,2383,23027,1,Horse Feathers,1932
209,6051,23590,3,Three on a Match,1932
210,6063,23427,1,Scarface,1932
211,6092,23385,3,Red-Headed Woman,1932
212,5910,23649,3,Vampyr,1932
213,3658,23238,0,"Most Dangerous Game, The",1932
214,2550,23694,0,White Zombie,1932
215,3844,24188,1,Island of Lost Souls,1932
216,1318,23042,1,I Am a Fugitive from a Chain Gang,1932
217,2767,22718,1,Boudu Saved from Drowning,1932
218,3530,23634,1,"I Was Born, But...",1932
219,6176,23935,1,"Death Kiss, The",1932
220,6205,24432,0,"Peanut Vendor, The",1933
221,5916,24069,3,Gold Diggers of 1933,1933
222,802,24028,3,Footlight Parade,1933
223,2231,24264,3,Little Women,1933
224,5185,23969,1,Duck Soup,1933
225,1248,24473,1,"Private Life of Henry VIII., The",1933
226,3188,23753,3,Alice in Wonderland,1933
227,6056,24008,3,Female,1933
228,5029,23932,3,Day of Reckoning,1933
229,5752,24679,3,Tomorrow at Seven,1933
230,3210,24727,3,"Vampire Bat, The",1933
231,7450,24184,1,"Invisible Man, The",1933
232,2229,24216,0,King Kong,1933
233,1330,24481,3,Queen Christina,1933
234,4335,24034,3,42nd Street,1933
235,8346,23940,1,Design for Living,1933
236,7528,23775,3,Baby Face,1933
237,8477,23876,3,Cavalcade,1933
238,6193,24625,3,A Study in Scarlet,1933
239,5523,25424,2,Lost in the Stratosphere,1934
240,4443,25822,3,Spitfire,1934
241,1325,25746,3,"Scarlet Empress, The",1934
242,1329,25617,1,"Painted Veil, The",1934
243,5319,24831,3,Anne of Green Gables,1934
244,1324,24961,1,"Cat&#39;s-Paw, The",1934
